episode_id,show_id,creator_id,publish_ts,duration_s
1,1,1,2026-01-06 00:00:00+00:00,2163
2,1,1,2026-01-03 00:00:00+00:00,1908
3,1,1,2026-01-01 00:00:00+00:00,2680
4,1,1,2025-12-27 00:00:00+00:00,2025
5,1,1,2025-12-27 00:00:00+00:00,2479
6,1,1,2025-12-19 00:00:00+00:00,2776
7,1,1,2025-11-29 00:00:00+00:00,1608
8,1,1,2025-11-14 00:00:00+00:00,1110
9,1,1,2025-11-08 00:00:00+00:00,878
10,1,1,2025-11-03 00:00:00+00:00,2395
11,2,1,2026-02-21 00:00:00+00:00,1072
12,2,1,2026-02-19 00:00:00+00:00,3307
13,2,1,2026-02-13 00:00:00+00:00,2413
14,2,1,2026-02-10 00:00:00+00:00,3037
15,2,1,2026-02-07 00:00:00+00:00,1669
16,2,1,2026-02-05 00:00:00+00:00,2888
17,2,1,2026-01-31 00:00:00+00:00,826
18,2,1,2026-01-29 00:00:00+00:00,2751
19,2,1,2026-01-25 00:00:00+00:00,999
20,2,1,2026-01-10 00:00:00+00:00,2531
21,2,1,2026-01-04 00:00:00+00:00,2039
22,2,1,2025-12-30 00:00:00+00:00,2495
23,2,1,2025-12-30 00:00:00+00:00,1387
24,2,1,2025-12-21 00:00:00+00:00,915
25,2,1,2025-12-15 00:00:00+00:00,2895
26,2,1,2025-12-15 00:00:00+00:00,1983
27,2,1,2025-12-11 00:00:00+00:00,967
28,2,1,2025-12-06 00:00:00+00:00,1856
29,2,1,2025-11-21 00:00:00+00:00,641
30,2,1,2025-11-18 00:00:00+00:00,3237
31,2,1,2025-11-08 00:00:00+00:00,3590
32,2,1,2025-11-05 00:00:00+00:00,1802
33,3,2,2026-02-20 00:00:00+00:00,1301
34,3,2,2026-01-30 00:00:00+00:00,967
35,3,2,2026-01-25 00:00:00+00:00,1148
36,3,2,2026-01-19 00:00:00+00:00,3539
37,3,2,2026-01-18 00:00:00+00:00,1570
38,3,2,2026-01-12 00:00:00+00:00,1240
39,3,2,2026-01-10 00:00:00+00:00,3154
40,3,2,2026-01-07 00:00:00+00:00,2385
41,3,2,2026-01-04 00:00:00+00:00,609
42,3,2,2025-12-19 00:00:00+00:00,1355
43,3,2,2025-12-12 00:00:00+00:00,2957
44,3,2,2025-12-10 00:00:00+00:00,1425
45,3,2,2025-11-22 00:00:00+00:00,2602
46,3,2,2025-11-16 00:00:00+00:00,2340
47,3,2,2025-11-10 00:00:00+00:00,657
48,3,2,2025-11-03 00:00:00+00:00,982
49,3,2,2025-10-29 00:00:00+00:00,808
50,3,2,2025-10-29 00:00:00+00:00,3067
51,4,3,2026-02-22 00:00:00+00:00,2585
52,4,3,2026-02-14 00:00:00+00:00,1860
53,4,3,2026-02-11 00:00:00+00:00,2801
54,4,3,2026-02-06 00:00:00+00:00,658
55,4,3,2026-02-03 00:00:00+00:00,2419
56,4,3,2026-02-03 00:00:00+00:00,1646
57,4,3,2026-02-01 00:00:00+00:00,1193
58,4,3,2026-01-30 00:00:00+00:00,1134
59,4,3,2026-01-28 00:00:00+00:00,2695
60,4,3,2026-01-20 00:00:00+00:00,3487
61,4,3,2026-01-04 00:00:00+00:00,947
62,4,3,2025-12-26 00:00:00+00:00,1508
63,4,3,2025-12-18 00:00:00+00:00,1409
64,4,3,2025-12-09 00:00:00+00:00,2071
65,4,3,2025-12-07 00:00:00+00:00,1944
66,4,3,2025-12-04 00:00:00+00:00,2623
67,4,3,2025-11-28 00:00:00+00:00,943
68,4,3,2025-11-25 00:00:00+00:00,2115
69,4,3,2025-11-24 00:00:00+00:00,917
70,4,3,2025-11-13 00:00:00+00:00,3008
71,5,3,2026-02-21 00:00:00+00:00,3201
72,5,3,2026-02-20 00:00:00+00:00,3074
73,5,3,2026-02-12 00:00:00+00:00,1043
74,5,3,2026-01-31 00:00:00+00:00,2553
75,5,3,2026-01-31 00:00:00+00:00,1948
