listener_id,region,signup_ts
1,APAC,2026-02-05 00:00:00+00:00
2,NA,2026-01-30 00:00:00+00:00
3,NA,2026-01-17 00:00:00+00:00
4,NA,2025-12-02 00:00:00+00:00
5,NA,2026-02-05 00:00:00+00:00
6,NA,2026-01-31 00:00:00+00:00
7,LATAM,2026-01-19 00:00:00+00:00
8,EU,2026-02-02 00:00:00+00:00
9,LATAM,2026-01-07 00:00:00+00:00
10,NA,2026-01-22 00:00:00+00:00
11,LATAM,2025-11-21 00:00:00+00:00
12,NA,2025-10-30 00:00:00+00:00
13,NA,2026-02-19 00:00:00+00:00
14,APAC,2025-12-17 00:00:00+00:00
15,LATAM,2025-11-01 00:00:00+00:00
16,LATAM,2026-01-18 00:00:00+00:00
17,EU,2025-12-15 00:00:00+00:00
18,NA,2026-01-20 00:00:00+00:00
19,EU,2026-01-17 00:00:00+00:00
20,NA,2026-01-27 00:00:00+00:00
21,LATAM,2025-11-13 00:00:00+00:00
22,EU,2026-01-02 00:00:00+00:00
23,APAC,2025-11-19 00:00:00+00:00
24,LATAM,2025-11-09 00:00:00+00:00
25,LATAM,2025-11-13 00:00:00+00:00
26,NA,2025-12-03 00:00:00+00:00
27,NA,2025-10-29 00:00:00+00:00
28,NA,2025-11-30 00:00:00+00:00
29,APAC,2026-02-22 00:00:00+00:00
30,EU,2025-10-31 00:00:00+00:00
31,EU,2025-11-25 00:00:00+00:00
32,LATAM,2025-11-11 00:00:00+00:00
33,EU,2025-11-19 00:00:00+00:00
34,NA,2025-11-16 00:00:00+00:00
35,EU,2026-02-14 00:00:00+00:00
36,APAC,2026-02-06 00:00:00+00:00
37,LATAM,2025-11-25 00:00:00+00:00
38,NA,2025-12-31 00:00:00+00:00
39,APAC,2025-11-10 00:00:00+00:00
40,EU,2025-11-01 00:00:00+00:00
41,NA,2026-01-29 00:00:00+00:00
42,NA,2025-12-14 00:00:00+00:00
43,APAC,2026-01-06 00:00:00+00:00
44,APAC,2025-12-10 00:00:00+00:00
45,NA,2025-12-14 00:00:00+00:00
46,EU,2025-11-06 00:00:00+00:00
47,NA,2026-01-05 00:00:00+00:00
48,LATAM,2025-12-12 00:00:00+00:00
49,NA,2026-02-20 00:00:00+00:00
50,LATAM,2025-11-14 00:00:00+00:00
51,NA,2025-11-07 00:00:00+00:00
52,NA,2025-12-21 00:00:00+00:00
53,NA,2026-01-26 00:00:00+00:00
54,APAC,2026-02-19 00:00:00+00:00
55,NA,2026-01-02 00:00:00+00:00
56,EU,2026-02-21 00:00:00+00:00
57,NA,2025-12-19 00:00:00+00:00
58,EU,2026-01-04 00:00:00+00:00
59,LATAM,2025-12-31 00:00:00+00:00
60,NA,2026-01-25 00:00:00+00:00
61,LATAM,2025-11-09 00:00:00+00:00
62,NA,2025-10-30 00:00:00+00:00
63,NA,2025-11-18 00:00:00+00:00
64,LATAM,2026-01-23 00:00:00+00:00
65,NA,2025-12-23 00:00:00+00:00
66,EU,2026-01-13 00:00:00+00:00
67,APAC,2026-01-26 00:00:00+00:00
68,LATAM,2025-12-09 00:00:00+00:00
69,NA,2026-02-11 00:00:00+00:00
70,EU,2025-11-11 00:00:00+00:00
71,LATAM,2025-11-02 00:00:00+00:00
72,NA,2026-01-01 00:00:00+00:00
73,APAC,2026-02-22 00:00:00+00:00
74,NA,2025-11-06 00:00:00+00:00
75,NA,2025-11-22 00:00:00+00:00
76,EU,2025-11-05 00:00:00+00:00
77,EU,2025-12-14 00:00:00+00:00
78,NA,2025-12-05 00:00:00+00:00
79,EU,2025-11-26 00:00:00+00:00
80,NA,2026-02-19 00:00:00+00:00
81,LATAM,2025-12-16 00:00:00+00:00
82,EU,2025-10-30 00:00:00+00:00
83,EU,2026-01-28 00:00:00+00:00
84,NA,2025-11-26 00:00:00+00:00
85,APAC,2026-02-24 00:00:00+00:00
86,NA,2025-12-15 00:00:00+00:00
87,EU,2025-12-11 00:00:00+00:00
88,LATAM,2026-01-27 00:00:00+00:00
89,EU,2026-01-01 00:00:00+00:00
90,NA,2025-11-30 00:00:00+00:00
91,EU,2025-12-21 00:00:00+00:00
92,LATAM,2026-02-14 00:00:00+00:00
93,NA,2025-11-18 00:00:00+00:00
94,NA,2025-12-09 00:00:00+00:00
95,NA,2026-01-28 00:00:00+00:00
96,NA,2025-12-13 00:00:00+00:00
97,EU,2026-02-17 00:00:00+00:00
98,APAC,2026-01-12 00:00:00+00:00
99,NA,2026-01-15 00:00:00+00:00
100,APAC,2025-12-30 00:00:00+00:00
101,NA,2025-11-05 00:00:00+00:00
102,APAC,2026-02-13 00:00:00+00:00
103,NA,2026-01-17 00:00:00+00:00
104,NA,2025-12-22 00:00:00+00:00
105,LATAM,2025-12-09 00:00:00+00:00
106,APAC,2025-12-28 00:00:00+00:00
107,LATAM,2025-12-20 00:00:00+00:00
108,EU,2025-12-18 00:00:00+00:00
109,NA,2026-02-20 00:00:00+00:00
110,APAC,2025-11-12 00:00:00+00:00
111,EU,2025-12-25 00:00:00+00:00
112,LATAM,2026-01-09 00:00:00+00:00
113,NA,2025-12-08 00:00:00+00:00
114,APAC,2025-11-06 00:00:00+00:00
115,EU,2025-11-03 00:00:00+00:00
116,LATAM,2025-11-21 00:00:00+00:00
117,NA,2025-11-27 00:00:00+00:00
118,NA,2025-11-01 00:00:00+00:00
119,NA,2026-02-02 00:00:00+00:00
120,NA,2026-02-13 00:00:00+00:00
121,EU,2025-12-21 00:00:00+00:00
122,NA,2025-12-15 00:00:00+00:00
123,NA,2026-01-19 00:00:00+00:00
124,NA,2025-12-30 00:00:00+00:00
125,LATAM,2026-02-17 00:00:00+00:00
126,NA,2025-11-02 00:00:00+00:00
127,LATAM,2026-01-19 00:00:00+00:00
128,NA,2025-12-04 00:00:00+00:00
129,EU,2025-12-06 00:00:00+00:00
130,NA,2026-01-17 00:00:00+00:00
131,NA,2025-10-28 00:00:00+00:00
132,LATAM,2026-01-03 00:00:00+00:00
133,EU,2026-01-18 00:00:00+00:00
134,LATAM,2025-12-30 00:00:00+00:00
135,LATAM,2026-02-22 00:00:00+00:00
136,LATAM,2025-11-29 00:00:00+00:00
137,NA,2026-01-05 00:00:00+00:00
138,NA,2025-12-14 00:00:00+00:00
139,NA,2026-02-21 00:00:00+00:00
140,EU,2026-02-14 00:00:00+00:00
141,EU,2026-02-12 00:00:00+00:00
142,APAC,2025-11-06 00:00:00+00:00
143,APAC,2025-10-28 00:00:00+00:00
144,LATAM,2026-02-15 00:00:00+00:00
145,EU,2025-11-29 00:00:00+00:00
146,NA,2025-12-04 00:00:00+00:00
147,EU,2025-12-08 00:00:00+00:00
148,NA,2025-11-30 00:00:00+00:00
149,APAC,2026-01-29 00:00:00+00:00
150,NA,2025-12-19 00:00:00+00:00
151,NA,2026-02-05 00:00:00+00:00
152,NA,2025-11-03 00:00:00+00:00
153,NA,2025-12-24 00:00:00+00:00
154,LATAM,2025-11-20 00:00:00+00:00
155,NA,2026-02-18 00:00:00+00:00
156,NA,2026-02-06 00:00:00+00:00
157,NA,2026-01-27 00:00:00+00:00
158,APAC,2025-12-20 00:00:00+00:00
159,APAC,2026-01-14 00:00:00+00:00
160,NA,2026-01-24 00:00:00+00:00
161,APAC,2025-12-13 00:00:00+00:00
162,NA,2026-02-08 00:00:00+00:00
163,NA,2025-12-14 00:00:00+00:00
164,EU,2025-10-28 00:00:00+00:00
165,NA,2025-10-29 00:00:00+00:00
166,APAC,2026-01-13 00:00:00+00:00
167,APAC,2025-10-29 00:00:00+00:00
168,NA,2026-01-17 00:00:00+00:00
169,NA,2026-02-11 00:00:00+00:00
170,NA,2026-02-14 00:00:00+00:00
171,APAC,2025-11-12 00:00:00+00:00
172,APAC,2026-02-09 00:00:00+00:00
173,NA,2026-02-20 00:00:00+00:00
174,APAC,2025-12-01 00:00:00+00:00
175,EU,2025-12-14 00:00:00+00:00
176,EU,2025-12-30 00:00:00+00:00
177,NA,2026-01-24 00:00:00+00:00
178,APAC,2025-12-16 00:00:00+00:00
179,NA,2026-01-01 00:00:00+00:00
180,NA,2025-11-20 00:00:00+00:00
181,NA,2025-12-20 00:00:00+00:00
182,NA,2025-11-22 00:00:00+00:00
183,LATAM,2025-12-10 00:00:00+00:00
184,LATAM,2026-02-11 00:00:00+00:00
185,NA,2025-11-24 00:00:00+00:00
